referencia_index,grupo_bibliografico,camada_id,camada,grupo_operacional,metodo_vinculacao,confianca,url_referencia
28,Infraestrutura viária e hidrografia,rodovias_estaduais,Rodovias estaduais,infra,regra_curada,alta,https://www.agesul.ms.gov.br/sre-ms
29,Infraestrutura viária e hidrografia,rodovias_federais,Rodovias federais,infra,regra_curada,alta,https://servicos.dnit.gov.br/vgeo
29,Infraestrutura viária e hidrografia,condicao_pavimento,"Condição do pavimento, obras e interrupções",mobilidade,regra_curada,alta,https://servicos.dnit.gov.br/vgeo
30,Infraestrutura viária e hidrografia,rede_hidrica,Rede hídrica,infra,url_exata,alta,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Hidrografia_MS/FeatureServer/0
31,Infraestrutura viária e hidrografia,rede_hidrica,Rede hídrica,infra,regra_curada,alta,https://metadados.snirh.gov.br
32,Patrimônio arqueológico,sitios_arqueologicos_pontos,Sítios arqueológicos,patrimonio,regra_curada,alta,https://www.gov.br/iphan/pt-br/patrimonio-cultural/patrimonio-arqueologico/cadastro-de-sitios-arqueologicos
32,Patrimônio arqueológico,sitios_arqueologicos_poligonos,Delimitações arqueológicas,patrimonio,regra_curada,alta,https://www.gov.br/iphan/pt-br/patrimonio-cultural/patrimonio-arqueologico/cadastro-de-sitios-arqueologicos
33,Patrimônio arqueológico,sitios_arqueologicos_pontos,Sítios arqueológicos,patrimonio,regra_curada,alta,https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/loc_sitios_arqueologicos_iphan_p/FeatureServer/0
34,Patrimônio arqueológico,sitios_arqueologicos_poligonos,Delimitações arqueológicas,patrimonio,url_exata,alta,https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/lim_sitios_arqueologicos_iphan_a/FeatureServer/0
35,Patrimônio cultural imaterial,bcr_bens_culturais_ms,Bens culturais relacionados com Mato Grosso do Sul,patrimonio,regra_curada,alta,https://bcr.iphan.gov.br
36,Patrimônio cultural imaterial,bcr_bens_culturais_ms,Bens culturais relacionados com Mato Grosso do Sul,patrimonio,regra_curada,alta,https://bcr.iphan.gov.br/bens-culturais
37,Patrimônio cultural imaterial,bcr_bens_culturais_ms,Bens culturais relacionados com Mato Grosso do Sul,patrimonio,regra_curada,alta,https://bcr.iphan.gov.br/bens-culturais/banho-de-sao-joao-de-corumba-e-ladario-ms
38,Patrimônio cultural imaterial,bcr_bens_culturais_ms,Bens culturais relacionados com Mato Grosso do Sul,patrimonio,regra_curada,alta,https://bcr.iphan.gov.br/bens-culturais/modo-de-fazer-viola-de-cocho
